firstname;middlename;lastname;title;description;ou
Brian;;O'Connor;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Bill;;Reichenbach;musician: trombone;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
John;;Reynolds;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
David;;Shamban;musician: cello;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Lindsay;;Shilling;musician: trombone;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Dan;;Smith;musician: cello;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Kurt;;Snyder;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Armin;;Steiner;scoring mixer;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Chet;;Swiatkowsky;musician: keyboards;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Phillip;A.;Teele;musician: trombone;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Richard;;Todd;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Brad;;Warnaar;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Phillip;;Yao;musician: french horn;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Patti;;Zimmitti;orchestra contractor;;OU=Music Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Tom;;Allen;script;;OU=Script and Continuity Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Gillian;;Stein;script supervisor: second unit;;OU=Script and Continuity Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Victoria;;Sullivan;script supervisor;;OU=Script and Continuity Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
John;;Allan;action vehicle coordinator;;OU=Transportation Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Tapio;;Piitulainen;action vehicle coordinator;;OU=Transportation Department,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Nathan;;Anderson;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Ian;I.T.;Armstrong;medical advisor;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Nils;;Bendix;kung fu team: Hong Kong;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Kerry;;Blakeman;safety officer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
John;;Bowring;key armorer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Mandy;;Butler;first assistant accountant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Suzanne;;Celeste;dialect coach;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sergei;;Chadiloff;2-D/3-D conceptual designer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Chen;T;Hu;kung fu team: Hong Kong;Tiger Hu Chen;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Spike;;Cherrie;safety officer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Helen;;Cox;nurse: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Aaron;;Crothers;concept designer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Michele;;D'Arcey;assistant accountant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Belinda;;Dean;production aide: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Christopher;;DeFaria;production executive;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sassica;;Donohoo;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Greg;;Duncombe;picture helicopter pilot: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Marcus;;Dwyer;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Brian;;Ellison;safety officer: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Lizzie;;Eves;production secretary: second unit;Elizabeth Eves;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
John;;Faithfull;caterer: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Kerry;;Fetzer;caterer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Guy;;Firth;caterer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Peter;;Forbes;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Yukiko;;Furuse;translator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Katherine;;Gamble;assistant production coordinator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Annie;;Gilhooly;assistant: Barrie M. Osborne;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Juan;;Goldsmith;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Martin;;Grelis;actor;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Jane;;Griffin;production coordinator: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Bianca;;Havas;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Marvin;;Hayes;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Jane;;Healy;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sandra;;Hodge;assistant: Laurence Fishburne;Sandra Hodge-Hampton;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Joseph;M;Horrigan;medical advisor;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Huang;;Sam Kai Sen;kung fu team: Hong Kong;Sam Kai-Sen Huang;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Donna;;Huddleston;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Yoshikazu;;Iwanami;staging;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Emma;;Jacobs;assistant: Andrew Mason;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Alistair;;Jenkins;production accountant: Australia;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Jayne;;Johnson;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Kazumi;;Kanaya;editing;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Alex;;Kaufman;production aide;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Carol;;Kim;kung fu coordinator: Hong Kong;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Stephen;;Kitney;stand-in;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Morio;;Kobayashi;staging;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Yoshiaki;;Kubo;translator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Tomiko;;Kurihara;translator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Fiona;;Landreth;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Brian;;Larimer;Advertising;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Lee;;Chew Tat Chiu;kung fu team: Hong Kong;Tat-Chiu Lee;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Terry;;Lee;aerial coordinator: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Lea;;Lennon;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Leung;;Madye Sing Hung;kung fu team: Hong Kong;Shing-Hung Leung;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Julie-Anne;;Lincoln;caterer: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Belinda;;Lowson;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sami;;MacKenzie-Kerr;screen graphics assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Suzanne;;Middleton;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Melissa;;Johnston;production aide;Melissa Mundi;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Masumi;;Nakanishi;sound;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Longy;;Nguyin;cast sports masseuse;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Tommy;;O'Reilly;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Phil;;Oosterhouse;assistant: Wachowski brothers;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Danielle;;Osborne;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Julia;;Peters;production coordinator: second unit;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Rob;;Polgar;assistant: Dan Cracchiolo;Robert Polgar;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Angela;;Pritchard;assistant: Barrie M. Osborne;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Reinaldo;;Puentes-Tucki;assistant: Mr. Reeves;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Jacquie;;Robertson;nurse;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Michael;;Roth;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Michelle;;Rowe;physical trainer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Marge;;Rowland;production accountant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Ilkka;;Saari;story editor: executive script consultant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Fiona;;Searson;publicist;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Janet;;Seppelt;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sally;;Sharpe;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Greg;;Silverman;Studio Executive;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Denise;;Snyder;physical trainer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Bryce;;Tibbey;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Masanori;;Tsuchiya;editing/recording;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Michelle;;Tuella;assistant: Joel Silver;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
John;;Turner;programmer: amx;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Kevin;;Varnes;caterer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Justine;;Vollmer;production secretary;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Richard;;Walker;head eye wear designer;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Sinclair;;Whalley;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Chris;;Whittle;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Lawrence;;Woodward;safety coordinator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Megan;;Worthy;production coordinator;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Charly;;Wrencher;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Luke;;Wrencher;staff assistant;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Rintaro;;Yoneya;sound;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Yuen;;Eagle Shun Yi;kung fu team: Hong Kong;Shun-Yee Yuen;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Yuen;;Wo Ping;kung fu choreographer;Woo-Ping Yuen;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
Daxing;;Zhang;kung fu team: Hong Kong;;OU=Additional Crew,OU=Crew,OU=DomainUsers,DC=TheMatrix,DC=local
